region,rok,"gimnazjalne,_podstawowe_i_niższe_ogółem_wartość_liczbowa","gimnazjalne,_podstawowe_i_niższe_ogółem_wskaźnik_precyzji",policealne_oraz_średnie_zawodowe/branżowe_ogółem_wartość_liczbowa,policealne_oraz_średnie_zawodowe/branżowe_ogółem_wskaźnik_precyzji,wyższe_ogółem_wartość_liczbowa,wyższe_ogółem_wskaźnik_precyzji,zasadnicze_zawodowe/branżowe_ogółem_wartość_liczbowa,zasadnicze_zawodowe/branżowe_ogółem_wskaźnik_precyzji,średnie_(łącznie_z_zasadniczym_zawodowym/branżowym_i_policealnym)_ogółem_wartość_liczbowa,średnie_(łącznie_ze_średnim_zawodowym/branżowym_i_ogólnokształcącym)_ogółem_wartość_liczbowa,średnie_ogólnokształcące_ogółem_wartość_liczbowa,średnie_ogólnokształcące_ogółem_wskaźnik_precyzji,średnie_zawodowe/branżowe_ogółem_wartość_liczbowa,średnie_zawodowe/branżowe_ogółem_wskaźnik_precyzji
POLSKA,2021,12.9,1.1,24.6,0.81,29.3,0.97,22.1,1.01,57.8,32.7,11.1,1.27,21.6,0.93
POLSKA,2022,12.7,1.11,24.6,0.91,30,0.82,21.7,1.03,57.3,32.6,11,1.29,21.6,0.93
POLSKA,2023,12,1.18,23,0.97,33.2,0.74,19.8,1.01,54.9,32.4,12.1,1.43,20.3,0.99
POLSKA,2024,11.8,0.85,22.3,0.9,34.2,0.72,19.2,1.04,54,32.2,12.5,1.13,19.7,1.02
POLSKA,2025,-,-,-,-,-,-,-,-,-,-,-,-,-,-
POMORSKIE,2010,19,1.97,23.3,1.78,19.5,2.51,26.6,1.8,61.5,32,11.6,2.42,20.4,1.97
POMORSKIE,2011,18.6,3.59,22,2.79,20.7,3.83,26.8,2.78,60.6,31.1,11.8,3.66,19.3,2.93
POMORSKIE,2012,17.9,3.31,21.5,2.55,22.4,3.33,25.9,2.46,59.6,30.9,12.2,3.48,18.7,2.81
POMORSKIE,2013,17.8,3.37,21.6,2.27,23.2,3.03,25.9,2.22,59.1,30.7,11.6,3.55,19.1,2.56
POMORSKIE,2014,17.7,3.25,21.2,2.44,22.8,3.01,26.5,2.23,59.4,30.4,11.7,3.08,18.7,2.62
POMORSKIE,2015,15.8,3.69,21.8,2.71,24.3,3.08,25.7,2.33,59.9,31.2,12.4,3.52,18.8,2.96
